0,Description,Typical Array,Mean,Std,5%,95%
71,"71.Sum of 2d6+6, Reroll 1s, Best 6 of 12 Rolls",14.21; 14.65; 15.13; 15.67; 16.31; 17.13,53.48,10.98,36,73
72,"72.Sum of 2d6+6, Reroll 1s/2s, Best 6 of 12 Rolls",15.17; 15.51; 15.89; 16.32; 16.83; 17.45,64.43,9.85,48,80
73,"73.Sum the Best 3 of 5d6, 6 Rolls",9.93; 11.8; 13.06; 14.14; 15.21; 16.44,30.61,11.69,12,51
74,"74.Sum the Best 3 of 5d6, 6 Rolls, Best of 3 Arrays",10.82; 12.71; 13.99; 15.06; 16.06; 17.11,40.62,9.29,26,57
75,"75.Sum the Best 3 of 5d6, 6 Rolls, Best of 6 Arrays",11.26; 13.17; 14.45; 15.5; 16.43; 17.36,45.83,8.17,33,60
76,"76.Sum the Best 3 of 5d6, Reroll 1s, 6 Rolls",11.51; 13.06; 14.12; 15.01; 15.89; 16.9,41,11.28,23,60
77,"77.Sum the Best 3 of 5d6, Reroll 1s, 6 Rolls, Best of 3 Arrays",12.24; 13.85; 14.91; 15.78; 16.59; 17.42,50.67,8.86,37,66
78,"78.Sum the Best 3 of 5d6, Reroll 1s, 6 Rolls, Best of 6 Arrays",12.63; 14.26; 15.31; 16.14; 16.89; 17.61,55.65,7.73,44,69
79,"79.Sum the Best 3 of 5d6, Reroll 1s/2s, 6 Rolls",13.08; 14.33; 15.17; 15.88; 16.58; 17.34,53.36,10.75,36,71
80,"80.Sum the Best 3 of 5d6, Reroll 1s/2s, 6 Rolls, Best of 3 Arrays",13.71; 15.0; 15.82; 16.49; 17.11; 17.71,62.51,8.18,50,77
81,"81.Sum the Best 3 of 5d6, Reroll 1s/2s, 6 Rolls, Best of 6 Arrays",14.06; 15.34; 16.13; 16.76; 17.35; 17.83,67.11,7.03,56,80
82,"82.Sum the Best 3 of 5d6, Best 6 of 7 Rolls",11.46; 12.64; 13.62; 14.54; 15.48; 16.6,36.26,11.59,18,56
83,"83.Sum the Best 3 of 5d6, Best 6 of 7 Rolls, Best of 3 Arrays",12.22; 13.47; 14.48; 15.39; 16.27; 17.22,46.19,9.25,32,62
84,"84.Sum the Best 3 of 5d6, Best 6 of 7 Rolls, Best of 6 Arrays",12.62; 13.9; 14.91; 15.79; 16.62; 17.45,51.4,8.12,39,66
85,"85.Sum the Best 3 of 5d6, Reroll 1s, Best 6 of 7 Rolls",12.78; 13.77; 14.58; 15.34; 16.12; 17.03,46.49,11.37,28,66
86,"86.Sum the Best 3 of 5d6, Reroll 1s, Best 6 of 7 Rolls, Best of 3 Arrays",13.45; 14.49; 15.32; 16.05; 16.76; 17.5,56.21,8.82,42,71
87,"87.Sum the Best 3 of 5d6, Reroll 1s, Best 6 of 7 Rolls, Best of 6 Arrays",13.8; 14.87; 15.68; 16.38; 17.04; 17.68,61.17,7.62,49,74
88,"88.Sum the Best 3 of 5d6, Reroll 1s/2s, Best 6 of 7 Rolls",14.1; 14.89; 15.54; 16.14; 16.75; 17.44,58.88,10.66,41,77
89,"89.Sum the Best 3 of 5d6, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 3 Arrays",14.68; 15.5; 16.13; 16.69; 17.25; 17.77,67.94,7.97,55,81
90,"90.Sum the Best 3 of 5d6, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 6 Arrays",14.98; 15.8; 16.41; 16.95; 17.47; 17.88,72.43,6.76,62,84
91,"91.Sum the Best 3 of 5d6, Best 6 of 9 Rolls",12.87; 13.63; 14.35; 15.08; 15.86; 16.83,43.8,11.7,25,64
92,"92.Sum the Best 3 of 5d6, Reroll 1s, Best 6 of 9 Rolls",13.96; 14.59; 15.19; 15.79; 16.44; 17.22,54.18,11.22,36,73
93,"93.Sum the Best 3 of 5d6, Reroll 1s/2s, Best 6 of 9 Rolls",15.04; 15.55; 16.02; 16.49; 17.0; 17.58,66.34,10.17,49,83
94,"94.Sum the Best 3 of 5d6, Best 6 of 12 Rolls",13.92; 14.46; 15.01; 15.59; 16.25; 17.07,51.76,11.49,33,71
95,"95.Sum the Best 3 of 5d6, Reroll 1s, Best 6 of 12 Rolls",14.83; 15.28; 15.73; 16.21; 16.75; 17.41,61.96,10.7,44,80
96,"96.Sum the Best 3 of 5d6, Reroll 1s/2s, Best 6 of 12 Rolls",15.74; 16.09; 16.45; 16.83; 17.26; 17.71,73.48,9.34,57,90
97,"97.Sum of 4d4+2, 6 Rolls",9.19; 10.54; 11.54; 12.46; 13.46; 14.81,15.23,8.11,3,29
98,"98.Sum of 4d4+2, 6 Rolls, Best of 3 Arrays",9.78; 11.2; 12.25; 13.24; 14.31; 15.71,22.2,6.91,12,35
99,"99.Sum of 4d4+2, 6 Rolls, Best of 6 Arrays",10.05; 11.51; 12.6; 13.63; 14.74; 16.13,26.06,6.3,17,37
100,"100.Sum of 4d4+2, Reroll 1s, 6 Rolls",11.96; 12.94; 13.66; 14.34; 15.06; 16.04,33.19,8.32,20,48
101,"101.Sum of 4d4+2, Reroll 1s, 6 Rolls, Best of 3 Arrays",12.37; 13.44; 14.22; 14.93; 15.69; 16.66,40.35,6.92,30,52
102,"102.Sum of 4d4+2, Reroll 1s, 6 Rolls, Best of 6 Arrays",12.58; 13.7; 14.5; 15.23; 16.0; 16.93,44.22,6.2,35,55
103,"103.Sum of 4d4+2, Reroll 1s/2s, 6 Rolls",14.79; 15.36; 15.8; 16.2; 16.64; 17.22,60.75,7.4,49,73
104,"104.Sum of 4d4+2, Reroll 1s/2s, 6 Rolls, Best of 3 Arrays",15.07; 15.71; 16.15; 16.57; 17.01; 17.55,67.05,5.77,58,77
105,"105.Sum of 4d4+2, Reroll 1s/2s, 6 Rolls, Best of 6 Arrays",15.23; 15.88; 16.32; 16.77; 17.18; 17.7,70.3,5.05,63,79
106,"106.Sum of 4d4+2, Best 6 of 7 Rolls",10.28; 11.19; 12.0; 12.81; 13.72; 15.0,18.92,8.11,7,33
